Date,Provider,Num,Rate
2026-03-23,s_bdt_zenithpay,273,71.42
2026-03-23,s_bdt_gtpay,4,100.00
2026-03-23,s_bdt_gopay,1,100.00
2026-03-23,s_bdt_tigerpay,1,100.00
2026-03-24,s_bdt_zenithpay,196,61.62
2026-03-24,s_bdt_gopay,10,90.00
2026-03-24,s_bdt_gtpay,7,100.00
2026-03-24,s_bdt_passpay,3,66.66
2026-03-24,s_bdt_tigerpay,2,
2026-03-25,s_bdt_zenithpay,191,73.52
2026-03-25,s_bdt_gopay,8,75.00
2026-03-25,s_bdt_gtpay,7,100.00
2026-03-25,s_bdt_passpay,3,33.33
2026-03-25,s_bdt_hrpay,2,
2026-03-26,s_bdt_zenithpay,159,64.93
2026-03-26,s_bdt_gtpay,10,83.33
2026-03-26,s_bdt_passpay,4,50.00
2026-03-26,s_bdt_starpagopay,1,100.00
2026-03-27,s_bdt_zenithpay,190,69.89
2026-03-27,s_bdt_gtpay,6,100.00
2026-03-27,s_bdt_gopay,2,100.00
2026-03-27,s_bdt_passpay,2,50.00
2026-03-27,s_bdt_axispay,1,100.00
2026-03-28,s_bdt_zenithpay,218,67.59
2026-03-28,s_bdt_passpay,18,
2026-03-28,s_bdt_gtpay,14,100.00
2026-03-28,s_bdt_tigerpay,8,37.50
2026-03-28,s_bdt_gopay,6,100.00
2026-03-28,s_bdt_axispay,3,33.33
2026-03-28,s_bdt_starpagopay,2,
2026-03-29,s_bdt_zenithpay,215,62.91
2026-03-29,s_bdt_gtpay,9,66.66
2026-03-29,s_bdt_tigerpay,2,
2026-03-29,s_bdt_gopay,2,50.00
2026-03-29,s_bdt_axispay,1,
2026-03-29,s_bdt_passpay,1,
2026-03-29,s_bdt_starpagopay,1,
2026-03-29,s_bdt_hrpay,1,
2026-03-30,s_bdt_zenithpay,214,75.47
2026-03-30,s_bdt_gtpay,5,66.66
2026-03-30,s_bdt_gopay,1,100.00
2026-03-31,s_bdt_zenithpay,256,49.79
2026-03-31,s_bdt_gtpay,9,60.00
2026-03-31,s_bdt_gopay,6,100.00
2026-03-31,s_bdt_tigerpay,1,
2026-03-31,s_bdt_hrpay,1,
2026-03-31,s_bdt_starpagopay,1,
2026-04-01,s_bdt_zenithpay,180,70.17
2026-04-01,s_bdt_gtpay,16,60.00
2026-04-01,s_bdt_axispay,15,40.00
2026-04-01,s_bdt_gopay,4,50.00
2026-04-01,s_bdt_tigerpay,2,
2026-04-01,s_bdt_passpay,1,100.00
2026-04-02,s_bdt_zenithpay,210,66.66
2026-04-02,s_bdt_gtpay,33,69.69
2026-04-02,s_bdt_gopay,8,62.50
2026-04-02,s_bdt_starpagopay,1,100.00
2026-04-02,s_bdt_hrpay,1,100.00
2026-04-02,s_bdt_axispay,1,100.00
2026-04-03,s_bdt_zenithpay,191,76.43
2026-04-03,s_bdt_gtpay,46,62.50
2026-04-03,s_bdt_gopay,2,100.00
2026-04-03,s_bdt_passpay,2,50.00
2026-04-03,s_bdt_axispay,1,100.00
2026-04-04,s_bdt_zenithpay,199,75.87
2026-04-04,s_bdt_gtpay,25,88.00
2026-04-04,s_bdt_axispay,1,100.00
2026-04-04,s_bdt_hrpay,1,100.00
2026-04-05,s_bdt_zenithpay,140,78.10
2026-04-05,s_bdt_gtpay,30,89.65
2026-04-05,s_bdt_tigerpay,3,100.00
2026-04-05,s_bdt_gopay,2,100.00
2026-04-06,s_bdt_zenithpay,172,75.00
2026-04-06,s_bdt_gtpay,35,81.25
2026-04-06,s_bdt_gopay,3,66.66
2026-04-06,s_bdt_tigerpay,2,100.00
2026-04-06,s_bdt_passpay,1,100.00
2026-04-07,s_bdt_zenithpay,127,78.74
2026-04-07,s_bdt_gtpay,11,81.81
2026-04-07,s_bdt_gopay,2,100.00
2026-04-07,s_bdt_axispay,1,
2026-04-07,s_bdt_passpay,1,100.00
2026-04-08,s_bdt_zenithpay,170,73.21
2026-04-08,s_bdt_gtpay,43,84.61
2026-04-08,s_bdt_tigerpay,5,
2026-04-08,s_bdt_gopay,2,100.00
2026-04-08,s_bdt_passpay,1,100.00
2026-04-09,s_bdt_zenithpay,186,81.72
2026-04-09,s_bdt_gtpay,35,93.10
2026-04-09,s_bdt_gopay,5,80.00
2026-04-09,s_bdt_tigerpay,4,50.00
2026-04-09,s_bdt_passpay,3,
2026-04-09,s_bdt_hrpay,1,
2026-04-09,s_bdt_starpagopay,1,100.00
2026-04-10,s_bdt_zenithpay,183,76.50
2026-04-10,s_bdt_gtpay,59,92.30
2026-04-10,s_bdt_tigerpay,7,42.85
2026-04-10,s_bdt_passpay,4,50.00
2026-04-10,s_bdt_gopay,2,100.00
2026-04-10,s_bdt_axispay,1,100.00
2026-04-11,s_bdt_zenithpay,191,75.26
2026-04-11,s_bdt_gtpay,25,86.36
2026-04-11,s_bdt_tigerpay,3,66.66
2026-04-11,s_bdt_starpagopay,3,100.00
2026-04-11,s_bdt_gopay,1,
2026-04-11,s_bdt_passpay,1,100.00
2026-04-12,s_bdt_zenithpay,192,80.10
2026-04-12,s_bdt_gtpay,12,100.00
2026-04-12,s_bdt_gopay,2,50.00
2026-04-12,s_bdt_starpagopay,1,100.00
2026-04-12,s_bdt_tigerpay,1,
2026-04-13,s_bdt_zenithpay,184,73.18
2026-04-13,s_bdt_gtpay,21,71.42
2026-04-13,s_bdt_passpay,6,
2026-04-13,s_bdt_tigerpay,2,100.00
2026-04-13,s_bdt_starpagopay,1,100.00
2026-04-13,s_bdt_axispay,1,
2026-04-14,s_bdt_zenithpay,185,76.75
2026-04-14,s_bdt_gtpay,52,60.00
2026-04-14,s_bdt_tigerpay,12,8.33
2026-04-14,s_bdt_gopay,4,100.00
2026-04-14,s_bdt_starpagopay,1,100.00
2026-04-15,s_bdt_zenithpay,175,73.14
2026-04-15,s_bdt_gtpay,17,76.92
2026-04-15,s_bdt_gopay,6,100.00
2026-04-15,s_bdt_starpagopay,5,20.00
2026-04-15,s_bdt_tigerpay,3,33.33
2026-04-15,s_bdt_axispay,1,100.00
2026-04-16,s_bdt_zenithpay,152,82.23
2026-04-16,s_bdt_gtpay,34,86.36
2026-04-16,s_bdt_tigerpay,10,10.00
2026-04-16,s_bdt_hrpay,2,50.00
2026-04-16,s_bdt_gopay,2,100.00
2026-04-16,s_bdt_starpagopay,1,100.00
2026-04-16,s_bdt_passpay,1,100.00
2026-04-17,s_bdt_zenithpay,140,83.45
2026-04-17,s_bdt_gtpay,34,41.17
2026-04-17,s_bdt_axispay,9,33.33
2026-04-17,s_bdt_gopay,4,100.00
2026-04-17,s_bdt_passpay,1,100.00
2026-04-17,s_bdt_hrpay,1,100.00
2026-04-17,s_bdt_tigerpay,1,
2026-04-18,s_bdt_zenithpay,182,71.97
2026-04-18,s_bdt_gtpay,31,86.66
2026-04-18,s_bdt_gopay,6,100.00
2026-04-18,s_bdt_starpagopay,3,100.00
2026-04-18,s_bdt_axispay,2,100.00
2026-04-19,s_bdt_zenithpay,226,66.06
2026-04-19,s_bdt_gtpay,31,92.30
2026-04-19,s_bdt_passpay,7,42.85
2026-04-19,s_bdt_gopay,4,75.00
2026-04-19,s_bdt_axispay,1,
2026-04-19,s_bdt_hrpay,1,
2026-04-19,s_bdt_starpagopay,1,100.00
2026-04-20,s_bdt_zenithpay,205,67.15
2026-04-20,s_bdt_passpay,22,95.45
2026-04-20,s_bdt_gtpay,7,100.00
2026-04-20,s_bdt_gopay,5,80.00
2026-04-20,s_bdt_hrpay,3,100.00
2026-04-21,s_bdt_zenithpay,180,75.13
2026-04-21,s_bdt_passpay,9,100.00
2026-04-21,s_bdt_gtpay,7,100.00
2026-04-21,s_bdt_starpagopay,3,33.33
2026-04-21,s_bdt_gopay,2,50.00
2026-04-21,s_bdt_hrpay,1,100.00
2026-04-22,s_bdt_zenithpay,141,74.46
2026-04-22,s_bdt_passpay,24,87.50
2026-04-22,s_bdt_gtpay,6,83.33
2026-04-22,s_bdt_aapay,3,33.33
2026-04-23,s_bdt_zenithpay,138,74.45
2026-04-23,s_bdt_passpay,16,93.75
2026-04-23,s_bdt_gtpay,6,66.66
2026-04-23,s_bdt_gopay,3,100.00
2026-04-23,s_bdt_hrpay,1,100.00
2026-04-24,s_bdt_zenithpay,161,69.37
2026-04-24,s_bdt_passpay,24,45.83
2026-04-24,s_bdt_starpagopay,19,50.00
2026-04-24,s_bdt_gtpay,15,100.00
2026-04-24,s_bdt_tigerpay,9,11.11
2026-04-24,s_bdt_aapay,3,50.00
2026-04-24,s_bdt_hrpay,2,
2026-04-24,s_bdt_gopay,2,100.00
2026-04-24,s_bdt_newtoppay,1,
2026-04-25,s_bdt_zenithpay,146,78.76
2026-04-25,s_bdt_passpay,17,58.82
2026-04-25,s_bdt_gtpay,9,100.00
2026-04-25,s_bdt_aapay,6,33.33
2026-04-25,s_bdt_tigerpay,2,50.00
2026-04-25,s_bdt_starpagopay,1,100.00
2026-04-26,s_bdt_zenithpay,163,69.37
2026-04-26,s_bdt_starpagopay,23,56.52
2026-04-26,s_bdt_passpay,7,66.66
2026-04-26,s_bdt_tigerpay,2,
2026-04-26,s_bdt_gopay,1,
2026-04-26,s_bdt_gtpay,1,
2026-04-27,s_bdt_zenithpay,167,71.68
2026-04-27,s_bdt_starpagopay,18,50.00
2026-04-27,s_bdt_gtpay,10,
2026-04-27,s_bdt_tigerpay,5,
2026-04-27,s_bdt_passpay,2,100.00
2026-04-27,s_bdt_aapay,1,
