Date,Provider,Num,Rate
2026-04-13,PixU2cpay,154707,87.20
2026-04-13,PixGogo2pay,32037,85.74
2026-04-13,PixUnivepay,26759,86.68
2026-04-13,PixBestpay,19108,85.56
2026-04-13,Pix4zpay,16424,85.30
2026-04-13,PixBcpay,3256,78.43
2026-04-13,PixSitobankpay,2633,87.06
2026-04-13,PixWodipay,2077,79.06
2026-04-13,PixNewCbpay,1791,67.28
2026-04-13,PixSqpay,720,85.13
2026-04-13,PixKppay,155,47.74
2026-04-13,PixCepay,89,54.54
2026-04-13,PixNewwinpay,77,93.50
2026-04-13,PixEpay2,48,64.58
2026-04-13,PixUupay,30,90.00
2026-04-13,PixGlobalpay,4,50.00
2026-04-13,PixMegipay,2,
2026-04-13,PixDayangpay,1,
2026-04-13,PixFpay,1,
2026-04-14,PixU2cpay,158378,87.11
2026-04-14,PixGogo2pay,35127,85.75
2026-04-14,PixUnivepay,30297,86.78
2026-04-14,PixBestpay,18234,85.41
2026-04-14,Pix4zpay,11601,84.01
2026-04-14,PixBcpay,3395,80.40
2026-04-14,PixWodipay,2661,82.85
2026-04-14,PixNewCbpay,2377,64.22
2026-04-14,PixSitobankpay,2187,81.97
2026-04-14,PixKubaopay,1214,77.77
2026-04-14,PixSqpay,350,79.42
2026-04-14,PixWaterpay,210,56.19
2026-04-14,PixKppay,145,48.96
2026-04-14,PixNewwinpay,103,78.64
2026-04-14,PixCepay,96,65.62
2026-04-14,PixEpay2,48,70.83
2026-04-14,PixUupay,27,81.48
2026-04-14,PixGlobalpay,1,100.00
2026-04-14,PixNewcashpay,1,
2026-04-14,PixUaupay,1,
2026-04-15,PixU2cpay,153100,86.93
2026-04-15,PixGogo2pay,34915,85.86
2026-04-15,PixUnivepay,25898,85.69
2026-04-15,PixBestpay,20952,85.52
2026-04-15,Pix4zpay,14641,83.73
2026-04-15,PixBcpay,2928,78.75
2026-04-15,PixWanlihuipay,2819,82.93
2026-04-15,PixWodipay,2709,84.86
2026-04-15,PixNewCbpay,2426,65.54
2026-04-15,PixKubaopay,1628,80.02
2026-04-15,PixSqpay,1202,83.43
2026-04-15,PixSitobankpay,413,62.37
2026-04-15,PixKppay,138,62.04
2026-04-15,PixCepay,68,60.29
2026-04-15,PixNewwinpay,63,65.07
2026-04-15,PixEpay2,52,53.84
2026-04-15,PixUupay,30,70.00
2026-04-15,PixGlobalpay,1,100.00
