Date,Provider,Num,Rate
2026-03-19,s_idr_jayapay,2,200.00
2026-03-19,s_idr_akepay,1,100.00
2026-03-20,s_idr_gdppay,5,
2026-03-20,s_idr_pikingpay,1,
2026-03-23,s_idr_inpay,2,100.00
2026-03-24,s_idr_newbayarpay,2,
2026-03-24,s_idr_jayapay,1,
2026-03-25,s_idr_inpay,2,
2026-03-25,s_idr_newbayarpay,2,
2026-03-25,s_idr_gdppay,1,
2026-03-25,s_idr_jayapay,1,
2026-03-27,s_idr_pikingpay,5,
2026-03-27,s_idr_newbayarpay,2,
2026-03-27,s_idr_gdppay,1,
2026-03-27,s_idr_clickpay,1,
2026-03-28,s_idr_pikingpay,1,
2026-03-30,s_idr_newbayarpay,8,12.50
2026-03-30,s_idr_payingpay,3,
2026-03-30,s_idr_otgpay,2,
2026-03-30,s_idr_gdppay,1,
2026-03-30,s_idr_clickpay,1,
2026-03-31,s_idr_newbayarpay,12,8.33
2026-03-31,s_idr_bpay,12,20.00
2026-03-31,s_idr_clickpay,9,11.11
2026-03-31,s_idr_inpay,6,
2026-03-31,s_idr_jayapay,4,
2026-03-31,s_idr_pikingpay,4,25.00
2026-03-31,s_idr_gdppay,2,50.00
2026-03-31,s_idr_payingpay,1,
2026-04-01,s_idr_newbayarpay,2,
2026-04-01,s_idr_pikingpay,1,
2026-04-02,s_idr_newbayarpay,7,
2026-04-02,s_idr_inpay,5,
2026-04-02,s_idr_pikingpay,5,
2026-04-03,s_idr_trasafepay,41,11.76
2026-04-03,s_idr_newbayarpay,8,
2026-04-03,s_idr_clickpay,2,
2026-04-03,s_idr_pikingpay,2,
2026-04-03,s_idr_bpay,2,
2026-04-03,s_idr_inpay,1,
2026-04-03,s_idr_gdppay,1,
2026-04-03,s_idr_jayapay,1,
2026-04-04,s_idr_newbayarpay,4,
2026-04-04,s_idr_trasafepay,4,
2026-04-04,s_idr_pikingpay,1,
2026-04-05,s_idr_newbayarpay,3,
2026-04-06,s_idr_trasafepay,14,14.28
2026-04-06,s_idr_otgpay,4,
2026-04-06,s_idr_newbayarpay,4,
2026-04-06,s_idr_inpay,4,
2026-04-06,s_idr_clickpay,3,
2026-04-06,s_idr_bpay,3,
2026-04-07,s_idr_newbayarpay,3,
2026-04-08,s_idr_newbayarpay,138,55.07
2026-04-08,s_idr_trasafepay,1,
2026-04-09,s_idr_newbayarpay,257,77.43
2026-04-09,s_idr_trasafepay,1,
2026-04-09,s_idr_clickpay,1,100.00
2026-04-10,s_idr_newbayarpay,2719,75.97
2026-04-10,s_idr_trasafepay,25,56.00
2026-04-10,s_idr_clickpay,7,85.71
2026-04-11,s_idr_newbayarpay,6878,77.60
2026-04-11,s_idr_trasafepay,51,62.74
2026-04-11,s_idr_clickpay,20,90.00
2026-04-12,s_idr_newbayarpay,14174,74.21
2026-04-12,s_idr_trasafepay,118,57.75
2026-04-12,s_idr_clickpay,43,83.72
2026-04-13,s_idr_newbayarpay,23892,70.37
2026-04-13,s_idr_trasafepay,265,41.13
2026-04-13,s_idr_clickpay,132,68.93
2026-04-13,s_idr_paygridpay,13,16.66
2026-04-13,s_idr_bpay,7,
2026-04-14,s_idr_newbayarpay,32464,70.90
2026-04-14,s_idr_trasafepay,308,54.22
2026-04-14,s_idr_clickpay,153,71.23
2026-04-14,s_idr_paygridpay,12,
2026-04-15,s_idr_newbayarpay,35521,71.99
2026-04-15,s_idr_trasafepay,396,57.50
2026-04-15,s_idr_clickpay,168,74.40
2026-04-16,s_idr_newbayarpay,36084,76.69
2026-04-16,s_idr_jayapay,2931,24.63
2026-04-16,s_idr_trasafepay,376,52.44
2026-04-16,s_idr_clickpay,145,74.64
2026-04-17,s_idr_newbayarpay,40863,78.96
2026-04-17,s_idr_jayapay,6018,26.30
2026-04-17,s_idr_trasafepay,442,56.81
2026-04-17,s_idr_clickpay,238,78.57
2026-04-17,s_idr_tigerpay,7,50.00
2026-04-17,s_idr_paygridpay,1,
2026-04-18,s_idr_newbayarpay,51751,68.20
2026-04-18,s_idr_jayapay,8871,16.62
2026-04-18,s_idr_trasafepay,755,42.76
2026-04-18,s_idr_clickpay,441,53.07
2026-04-19,s_idr_newbayarpay,51050,79.58
2026-04-19,s_idr_jayapay,8674,25.00
2026-04-19,s_idr_trasafepay,659,52.67
2026-04-19,s_idr_clickpay,329,70.42
