Date,Provider,Num,Rate
2026-03-17,s_bdt_zenithpay,57,100.00
2026-03-18,s_bdt_zenithpay,69,100.00
2026-03-19,s_bdt_zenithpay,77,100.00
2026-03-20,s_bdt_zenithpay,83,100.00
2026-03-21,s_bdt_zenithpay,77,100.00
2026-03-22,s_bdt_zenithpay,77,100.00
2026-03-23,s_bdt_zenithpay,103,100.00
2026-03-24,s_bdt_zenithpay,42,100.00
2026-03-25,s_bdt_zenithpay,62,100.00
2026-03-26,s_bdt_zenithpay,63,100.00
2026-03-27,s_bdt_zenithpay,62,100.00
2026-03-28,s_bdt_zenithpay,69,100.00
2026-03-29,s_bdt_zenithpay,46,100.00
2026-03-30,s_bdt_zenithpay,82,100.00
2026-03-31,s_bdt_zenithpay,58,100.00
2026-04-01,s_bdt_zenithpay,60,100.00
2026-04-02,s_bdt_zenithpay,87,100.00
2026-04-03,s_bdt_zenithpay,76,100.00
2026-04-04,s_bdt_zenithpay,89,100.00
2026-04-05,s_bdt_zenithpay,48,100.00
2026-04-06,s_bdt_zenithpay,77,100.00
2026-04-07,s_bdt_zenithpay,74,100.00
2026-04-08,s_bdt_zenithpay,76,100.00
2026-04-09,s_bdt_zenithpay,72,100.00
2026-04-10,s_bdt_zenithpay,80,100.00
2026-04-11,s_bdt_zenithpay,63,100.00
2026-04-12,s_bdt_zenithpay,61,100.00
2026-04-13,s_bdt_zenithpay,93,100.00
2026-04-14,s_bdt_zenithpay,62,100.00
2026-04-15,s_bdt_zenithpay,81,100.00
